symbol,total_trades,wins,losses,breakeven,win_rate_pct,total_points,avg_win_pts,avg_loss_pts,risk_reward,max_consec_loss,days
NIFTY,11,8,3,0,72.7,386.6,70.07,-57.99,1.21,2,10
NIFTY,21,16,5,0,76.2,717.87,62.62,-56.8,1.1,2,20
NIFTY,31,23,8,0,74.2,1300.39,72.27,-45.22,1.6,2,30
NIFTY,72,41,31,0,56.9,1535.04,73.46,-47.63,1.54,4,60
NIFTY,113,62,51,0,54.9,2481.39,80.28,-48.94,1.64,4,90
BANKNIFTY,13,9,4,0,69.2,1419.29,194.51,-82.82,2.35,1,10
BANKNIFTY,23,14,9,0,60.9,1238.15,152.43,-99.54,1.53,2,20
BANKNIFTY,30,18,12,0,60.0,2610.44,206.54,-92.28,2.24,2,30
BANKNIFTY,70,40,30,0,57.1,4831.19,220.13,-132.47,1.66,3,60
BANKNIFTY,110,60,50,0,54.5,6761.81,230.03,-140.8,1.63,3,90
